ip,duration,trans_protocol,app_protocol,send_bytes,recv_bytes,t_same_main_engine,t_same_server,t_same_server_rate,t_diff_server_rate,t_diff_main_engine_rate,t_same_main_engine_2,t_same_server_2,t_same_server_rate_2,t_diff_server_rate_2,t_diff_main_engine_rate_2,same_main_engine,same_server,same_server_rate,diff_server_rate,same_src_rate,diff_src_rate,std,mean,send_rst_flag_rate
39.106.123.113,221004,TCP,HTTPS,1546,6375,1,13,1.0,0.0,0.92,1,4,1.0,0.0,0.75,1,1,1.0,0.0,1.0,0.0,1214.2141103596603,869.8231768231768,0.48352
192.168.89.22,345656,TCP,HTTP,472,527,3,6,1.0,0.0,0.5,1,1,1.0,0.0,0.0,26,26,1.0,0.0,0.04,0.96,1214.2176609501055,869.8121878121879,0.48352
120.241.21.115,169958,TCP,HTTP,1076,648,1,7,1.0,0.0,0.86,1,2,1.0,0.0,0.5,1,1,1.0,0.0,1.0,0.0,1213.557133166036,868.7362637362637,0.48452
192.168.80.81,4992,TCP,OTHER,78,64,1,2,1.0,0.0,0.5,1,1,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,1213.749627110641,868.3426573426574,0.48452
192.168.89.22,12358,TCP,HTTP,472,527,4,8,1.0,0.0,0.5,2,3,1.0,0.0,0.33,26,26,1.0,0.0,0.04,0.96,1213.7531656555936,868.3316683316683,0.48452
192.168.89.22,12292,TCP,HTTP,472,527,5,9,1.0,0.0,0.44,3,4,1.0,0.0,0.25,26,26,1.0,0.0,0.04,0.96,1213.5834955386513,867.1828171828172,0.48551
192.168.89.22,8589,TCP,HTTP,472,527,6,10,1.0,0.0,0.4,4,5,1.0,0.0,0.2,26,26,1.0,0.0,0.04,0.96,1213.4508582633969,866.0979020979021,0.48651
192.168.89.22,8490,TCP,HTTP,472,528,7,11,1.0,0.0,0.36,5,6,1.0,0.0,0.17,27,27,1.0,0.0,0.04,0.96,1213.356483138281,866.3236763236763,0.48751
192.168.93.30,4014,TCP,HTTP,546,595,2,12,1.0,0.0,0.83,1,7,1.0,0.0,0.86,9,9,1.0,0.0,0.11,0.89,1213.2552300580535,866.5934065934066,0.48751
192.168.89.10,87397,TCP,HTTP,483,531,1,12,1.0,0.0,0.92,1,8,1.0,0.0,0.88,15,15,1.0,0.0,0.07,0.93,1213.2517058051146,866.6043956043956,0.48751
183.192.205.169,124093,TCP,OTHER,556,258,1,3,1.0,0.0,0.67,1,2,1.0,0.0,0.5,1,1,1.0,0.0,1.0,0.0,1213.2273143302577,866.6883116883117,0.48751
192.168.89.22,184957,TCP,HTTP,472,527,7,13,1.0,0.0,0.46,6,9,1.0,0.0,0.33,28,28,1.0,0.0,0.04,0.96,1213.2855777440789,866.1758241758242,0.48751
192.168.93.30,26407,TCP,HTTP,546,595,3,14,1.0,0.0,0.79,2,10,1.0,0.0,0.8,9,9,1.0,0.0,0.11,0.89,1212.98332355026,864.943056943057,0.48751
192.168.102.114,2953,TCP,OTHER,390,234,1,4,1.0,0.0,0.75,1,3,1.0,0.0,0.67,1,1,1.0,0.0,1.0,0.0,1212.9245069340045,865.0749250749251,0.48851
39.156.66.18,99843,TCP,OTHER,246,198,3,5,0.67,0.32999999999999996,0.6,1,4,1.0,0.0,0.75,6,4,0.67,0.33,0.17,0.83,1212.9630646520873,863.92007992008,0.48851
192.168.89.10,82283,TCP,HTTP,483,531,2,15,1.0,0.0,0.87,2,11,1.0,0.0,0.82,13,13,1.0,0.0,0.08,0.92,1212.9595637697144,863.9310689310689,0.48851
192.168.89.22,363603,TCP,HTTP,472,527,8,16,1.0,0.0,0.5,7,12,1.0,0.0,0.42,29,29,1.0,0.0,0.03,0.97,1212.9595637697144,863.9310689310689,0.48851
192.168.89.22,1313102,TCP,HTTP,472,528,9,17,1.0,0.0,0.47,8,13,1.0,0.0,0.38,30,30,1.0,0.0,0.03,0.97,1212.8914179895671,862.976023976024,0.48851
192.168.93.30,16249077,TCP,HTTP,547,691,4,18,1.0,0.0,0.78,3,14,1.0,0.0,0.79,10,10,1.0,0.0,0.1,0.9,1212.7354550012471,861.9700299700299,0.48851
192.168.89.22,8162,TCP,HTTP,472,527,10,19,1.0,0.0,0.47,9,15,1.0,0.0,0.4,31,31,1.0,0.0,0.03,0.97,1212.438776364954,860.6483516483516,0.48851
192.168.89.22,11900,TCP,HTTP,472,527,11,20,1.0,0.0,0.45,10,16,1.0,0.0,0.38,32,32,1.0,0.0,0.03,0.97,1212.482102113372,860.046953046953,0.48951
192.168.89.22,17111,TCP,HTTP,472,527,12,21,1.0,0.0,0.43,11,17,1.0,0.0,0.35,33,33,1.0,0.0,0.03,0.97,1212.482102113372,860.046953046953,0.48951
192.168.89.10,12587,TCP,HTTP,483,531,3,22,1.0,0.0,0.86,3,18,1.0,0.0,0.83,12,12,1.0,0.0,0.08,0.92,1212.498205780141,859.991008991009,0.49051
192.168.89.22,8852,TCP,HTTP,472,527,13,23,1.0,0.0,0.43,12,19,1.0,0.0,0.37,34,34,1.0,0.0,0.03,0.97,1212.5172421318402,859.926073926074,0.49151
192.168.89.10,11310,TCP,HTTP,483,531,4,24,1.0,0.0,0.83,4,20,1.0,0.0,0.8,11,11,1.0,0.0,0.09,0.91,1212.5322757024821,859.8741258741259,0.49251
192.168.89.22,11213,TCP,HTTP,472,527,14,25,1.0,0.0,0.44,13,21,1.0,0.0,0.38,35,35,1.0,0.0,0.03,0.97,1212.3550487521245,858.7262737262737,0.49351
192.168.89.10,65006,TCP,HTTP,483,531,5,26,1.0,0.0,0.81,5,22,1.0,0.0,0.77,11,11,1.0,0.0,0.09,0.91,1212.3000639282973,857.8281718281718,0.49351
192.168.89.22,169927,TCP,HTTP,472,527,15,27,1.0,0.0,0.44,14,23,1.0,0.0,0.39,36,36,1.0,0.0,0.03,0.97,1212.2534062891139,856.932067932068,0.49451
192.168.93.30,3522,TCP,HTTP,546,595,5,28,1.0,0.0,0.82,4,24,1.0,0.0,0.83,10,10,1.0,0.0,0.1,0.9,1212.1373879690075,857.2357642357642,0.49451
192.168.93.30,30032,TCP,HTTP,546,595,5,25,1.0,0.0,0.8,5,25,1.0,0.0,0.8,11,11,1.0,0.0,0.09,0.91,1212.119590546463,857.2987012987013,0.49351
192.168.89.22,110409,TCP,HTTP,472,527,15,26,1.0,0.0,0.42,15,26,1.0,0.0,0.42,37,37,1.0,0.0,0.03,0.97,1212.119590546463,857.2987012987013,0.49351
192.168.89.22,103396,TCP,HTTP,472,528,16,27,1.0,0.0,0.41,16,27,1.0,0.0,0.41,38,38,1.0,0.0,0.03,0.97,1212.119590546463,857.2987012987013,0.49351
47.102.106.239,36098735,TCP,HTTPS,5202,6206,1,5,1.0,0.0,0.8,1,3,1.0,0.0,0.67,1,1,1.0,0.0,1.0,0.0,1219.8249991183256,861.9500499500499,0.49451
192.168.89.10,93689,TCP,HTTP,419,532,6,28,1.0,0.0,0.79,6,28,1.0,0.0,0.79,9,9,1.0,0.0,0.11,0.89,1219.8465368412287,861.8861138861139,0.49451
192.168.89.10,93526,TCP,HTTP,419,531,7,29,1.0,0.0,0.76,7,29,1.0,0.0,0.76,10,10,1.0,0.0,0.1,0.9,1219.8680708328318,861.8221778221779,0.49451
192.168.89.10,61629,TCP,HTTP,419,531,8,30,1.0,0.0,0.73,8,30,1.0,0.0,0.73,11,11,1.0,0.0,0.09,0.91,1219.7930635387168,861.995004995005,0.4955
192.168.93.30,7209,TCP,HTTP,546,595,6,31,1.0,0.0,0.81,6,31,1.0,0.0,0.81,11,11,1.0,0.0,0.09,0.91,1219.7930635387168,861.995004995005,0.4955
39.156.66.18,76598,TCP,HTTP,246,198,2,32,0.5,0.5,0.97,2,32,0.5,0.5,0.97,7,3,0.43,0.57,0.14,0.86,1219.8896010933324,861.7582417582418,0.49451
192.168.89.22,14588,TCP,HTTP,472,527,17,33,1.0,0.0,0.48,17,33,1.0,0.0,0.48,37,37,1.0,0.0,0.03,0.97,1219.0235172982561,859.8661338661339,0.4955
192.168.89.10,12227,TCP,HTTP,483,531,9,34,1.0,0.0,0.74,9,34,1.0,0.0,0.74,11,11,1.0,0.0,0.09,0.91,1219.0235172982561,859.8661338661339,0.4955
192.168.89.10,65563,TCP,HTTP,483,531,10,35,1.0,0.0,0.71,10,35,1.0,0.0,0.71,12,12,1.0,0.0,0.08,0.92,1219.020070365603,859.8771228771229,0.4955
192.168.89.10,64483,TCP,HTTP,483,531,11,36,1.0,0.0,0.69,11,36,1.0,0.0,0.69,12,12,1.0,0.0,0.08,0.92,1219.0379001641109,859.8141858141859,0.4965
192.168.93.30,3575,TCP,HTTP,546,595,7,37,1.0,0.0,0.81,7,37,1.0,0.0,0.81,11,11,1.0,0.0,0.09,0.91,1219.0166233241412,859.8881118881119,0.4955
192.168.89.10,13015,TCP,HTTP,483,531,12,38,1.0,0.0,0.68,12,36,1.0,0.0,0.67,13,13,1.0,0.0,0.08,0.92,1218.9575923323086,858.978021978022,0.4965
192.168.89.10,8621,TCP,HTTP,483,531,13,39,1.0,0.0,0.67,13,37,1.0,0.0,0.65,14,14,1.0,0.0,0.07,0.93,1218.7899818898538,857.8621378621378,0.4975
192.168.89.22,9508,TCP,HTTP,472,527,18,40,1.0,0.0,0.55,17,38,1.0,0.0,0.55,36,36,1.0,0.0,0.03,0.97,1218.7247913126093,856.9230769230769,0.4975
112.19.14.227,20790068,TCP,OTHER,180,134,1,5,1.0,0.0,0.8,1,4,1.0,0.0,0.75,1,1,1.0,0.0,1.0,0.0,1218.7289270950803,855.5794205794206,0.4975
223.109.146.164,20820915,TCP,OTHER,180,134,1,6,1.0,0.0,0.83,1,5,1.0,0.0,0.8,1,1,1.0,0.0,1.0,0.0,1218.859048851296,855.2767232767233,0.4965
192.168.89.22,21211,TCP,HTTP,472,527,19,41,1.0,0.0,0.54,5,17,1.0,0.0,0.71,34,34,1.0,0.0,0.03,0.97,1218.859048851296,855.2767232767233,0.4965
192.168.89.22,9472,TCP,HTTP,472,527,21,45,1.0,0.0,0.53,7,21,1.0,0.0,0.67,33,33,1.0,0.0,0.03,0.97,1218.9285905210002,854.9520479520479,0.4985
192.168.89.22,1208787,TCP,HTTP,472,527,22,46,1.0,0.0,0.52,8,22,1.0,0.0,0.64,34,34,1.0,0.0,0.03,0.97,1218.9285905210002,854.9520479520479,0.4985
192.168.93.30,3201,TCP,HTTP,546,595,8,47,1.0,0.0,0.83,3,20,1.0,0.0,0.85,12,12,1.0,0.0,0.08,0.92,1218.9609824496656,854.7712287712287,0.4985
192.168.89.22,1242126,TCP,HTTP,472,527,23,48,1.0,0.0,0.52,7,17,1.0,0.0,0.59,35,35,1.0,0.0,0.03,0.97,1218.9609824496656,854.7712287712287,0.4985
192.168.89.22,1241996,TCP,HTTP,472,528,24,49,1.0,0.0,0.51,8,18,1.0,0.0,0.56,36,36,1.0,0.0,0.03,0.97,1218.9619198595592,854.7682317682318,0.4995
192.168.93.30,1022291,TCP,HTTP,546,595,9,50,1.0,0.0,0.82,3,19,1.0,0.0,0.84,13,13,1.0,0.0,0.08,0.92,1218.959086660762,854.7792207792207,0.4995
192.168.89.22,392269,TCP,HTTP,472,528,24,50,1.0,0.0,0.52,8,14,1.0,0.0,0.43,35,35,1.0,0.0,0.03,0.97,1218.9606449435125,854.7742257742258,0.5005
192.168.93.30,15304993,TCP,HTTP,547,691,10,50,1.0,0.0,0.8,3,15,1.0,0.0,0.8,14,14,1.0,0.0,0.07,0.93,1218.9394197058627,854.8491508491509,0.4995
17.248.170.104,29526361,TCP,HTTPS,2014,9187,1,2,1.0,0.0,0.5,1,1,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,1219.4288815895306,856.3896103896104,0.4985
192.168.89.22,256093,TCP,HTTP,472,527,25,51,1.0,0.0,0.51,8,13,1.0,0.0,0.38,34,34,1.0,0.0,0.03,0.97,1219.432295938614,856.3786213786213,0.4985
192.168.89.22,6032,TCP,HTTP,472,527,26,52,1.0,0.0,0.5,9,14,1.0,0.0,0.36,35,35,1.0,0.0,0.03,0.97,1219.4533527726035,856.3046953046953,0.4995
192.168.89.10,71596,TCP,HTTP,483,531,16,53,1.0,0.0,0.7,3,15,1.0,0.0,0.8,16,16,1.0,0.0,0.06,0.94,1219.4533527726035,856.3046953046953,0.4995
203.119.169.17,19872994,TCP,OTHER,180,134,1,7,1.0,0.0,0.86,1,3,1.0,0.0,0.67,1,1,1.0,0.0,1.0,0.0,1219.6011988344874,855.9390609390609,0.4995
192.168.93.30,26695,TCP,HTTP,546,595,10,47,1.0,0.0,0.79,4,16,1.0,0.0,0.75,15,15,1.0,0.0,0.07,0.93,1219.6011988344874,855.9390609390609,0.4995
192.168.89.22,221639,TCP,HTTP,472,527,22,47,1.0,0.0,0.53,10,17,1.0,0.0,0.41,36,36,1.0,0.0,0.03,0.97,1219.6347364782052,855.8111888111888,0.5005
192.168.93.30,16287566,TCP,HTTP,547,691,10,47,1.0,0.0,0.79,5,18,1.0,0.0,0.72,15,15,1.0,0.0,0.07,0.93,1219.6459333283692,855.7632367632368,0.5005
17.248.165.16,29596627,TCP,HTTPS,9801,12875,1,3,1.0,0.0,0.67,1,2,1.0,0.0,0.5,1,1,1.0,0.0,1.0,0.0,1251.8943815575285,865.0829170829171,0.4995
192.168.89.10,95592,TCP,HTTP,483,531,13,39,1.0,0.0,0.67,4,19,1.0,0.0,0.79,17,17,1.0,0.0,0.06,0.94,1251.8909793383282,865.0939060939061,0.4995
192.168.93.30,27051,TCP,HTTP,546,595,10,38,1.0,0.0,0.74,6,20,1.0,0.0,0.7,16,16,1.0,0.0,0.06,0.94,1251.2788599917644,863.4985014985015,0.4995
192.168.89.10,9079,TCP,HTTP,419,532,13,37,1.0,0.0,0.65,5,21,1.0,0.0,0.76,18,18,1.0,0.0,0.06,0.94,1251.2055041652748,863.6713286713286,0.5005
192.168.89.10,8654,TCP,HTTP,483,531,14,38,1.0,0.0,0.63,6,22,1.0,0.0,0.73,19,19,1.0,0.0,0.05,0.95,1251.202112470552,863.6823176823177,0.5005
192.168.89.10,8523,TCP,HTTP,419,532,15,39,1.0,0.0,0.62,7,23,1.0,0.0,0.7,20,20,1.0,0.0,0.05,0.95,1251.1153605856528,862.5954045954046,0.5015
192.168.89.10,8425,TCP,HTTP,419,532,16,40,1.0,0.0,0.6,8,24,1.0,0.0,0.67,21,21,1.0,0.0,0.05,0.95,1251.1330107686072,862.5424575424576,0.5015
192.168.89.10,8098,TCP,HTTP,483,532,17,41,1.0,0.0,0.59,9,25,1.0,0.0,0.64,22,22,1.0,0.0,0.05,0.95,1251.1296287925431,862.5534465534465,0.5015
192.168.89.10,8000,TCP,HTTP,483,531,19,43,1.0,0.0,0.56,11,26,1.0,0.0,0.58,24,24,1.0,0.0,0.04,0.96,1245.2633740472907,856.6913086913087,0.5025
192.168.89.10,8916,TCP,HTTP,419,531,20,44,1.0,0.0,0.55,12,27,1.0,0.0,0.56,25,25,1.0,0.0,0.04,0.96,1245.0997472201032,855.4815184815185,0.5035
192.168.89.22,267715,TCP,HTTP,472,527,15,49,1.0,0.0,0.69,10,32,1.0,0.0,0.69,31,31,1.0,0.0,0.03,0.97,1244.604573319414,850.8341658341658,0.50749
223.109.146.132,19456320,TCP,OTHER,180,134,1,4,1.0,0.0,0.75,1,2,1.0,0.0,0.5,1,1,1.0,0.0,1.0,0.0,1244.5615269571215,849.4195804195804,0.50749
192.168.89.10,7377,TCP,HTTP,483,532,25,50,1.0,0.0,0.5,16,32,1.0,0.0,0.5,30,30,1.0,0.0,0.03,0.97,1244.428519309293,848.3726273726273,0.50749
192.168.89.10,7113,TCP,HTTP,483,532,26,51,1.0,0.0,0.49,17,33,1.0,0.0,0.48,31,31,1.0,0.0,0.03,0.97,1244.428519309293,848.3726273726273,0.50749
192.168.89.10,7081,TCP,HTTP,483,531,27,52,1.0,0.0,0.48,18,34,1.0,0.0,0.47,32,32,1.0,0.0,0.03,0.97,1244.1917395078606,847.1588411588411,0.50849
120.232.208.208,4045027,TCP,SSL,903,128,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,1244.0477233897097,847.8151848151848,0.50849
192.168.93.30,2991,TCP,HTTP,546,595,10,53,1.0,0.0,0.81,7,34,1.0,0.0,0.79,15,15,1.0,0.0,0.07,0.93,1244.0275873360908,847.8891108891108,0.50749
192.168.93.30,15247987,TCP,HTTP,547,691,10,52,1.0,0.0,0.81,8,33,1.0,0.0,0.76,16,16,1.0,0.0,0.06,0.94,1243.872912437435,846.9170829170829,0.50749
192.168.89.10,85167,TCP,HTTP,483,531,25,46,1.0,0.0,0.46,19,30,1.0,0.0,0.37,34,34,1.0,0.0,0.03,0.97,1242.4642692897114,844.6493506493506,0.50849
192.168.89.10,90904,TCP,HTTP,483,532,26,47,1.0,0.0,0.45,20,31,1.0,0.0,0.35,35,35,1.0,0.0,0.03,0.97,1242.512551243875,844.1858141858141,0.50949
192.168.89.10,90905,TCP,HTTP,483,532,27,48,1.0,0.0,0.44,21,32,1.0,0.0,0.34,36,36,1.0,0.0,0.03,0.97,1239.4440614225505,841.044955044955,0.51049
192.168.89.10,90741,TCP,HTTP,419,532,28,49,1.0,0.0,0.43,22,33,1.0,0.0,0.33,37,37,1.0,0.0,0.03,0.97,1239.4641798721634,840.981018981019,0.51049
192.168.89.22,10622,TCP,HTTP,472,527,13,49,1.0,0.0,0.73,6,34,1.0,0.0,0.82,30,30,1.0,0.0,0.03,0.97,1239.4674024189744,840.9700299700299,0.51049
192.168.89.22,10293,TCP,HTTP,472,527,14,50,1.0,0.0,0.72,7,35,1.0,0.0,0.8,31,31,1.0,0.0,0.03,0.97,1239.493967216933,840.8661338661339,0.51149
39.156.66.14,76452,TCP,OTHER,246,198,1,5,1.0,0.0,0.8,1,3,1.0,0.0,0.67,1,1,1.0,0.0,1.0,0.0,1239.6014915988903,840.5664335664336,0.51149
192.168.93.30,6812,TCP,HTTP,546,595,10,50,1.0,0.0,0.8,7,36,1.0,0.0,0.81,16,16,1.0,0.0,0.06,0.94,1239.5817156201406,840.6403596403596,0.51049
192.168.93.30,15249121,TCP,HTTP,547,691,10,50,1.0,0.0,0.8,8,36,1.0,0.0,0.78,17,17,1.0,0.0,0.06,0.94,1239.564917737769,840.7042957042958,0.50949
192.168.89.22,12655,TCP,HTTP,472,527,15,51,1.0,0.0,0.71,7,37,1.0,0.0,0.81,32,32,1.0,0.0,0.03,0.97,1239.564917737769,840.7042957042958,0.50949
117.187.116.132,18703375,TCP,HTTPS,327,249,1,3,1.0,0.0,0.67,1,2,1.0,0.0,0.5,1,1,1.0,0.0,1.0,0.0,1239.6164671895735,840.5594405594405,0.50849
23.48.201.41,18576321,TCP,HTTPS,1114,1081,1,4,1.0,0.0,0.75,1,2,1.0,0.0,0.5,1,1,1.0,0.0,1.0,0.0,1239.5949186624196,841.1898101898101,0.50749
59.82.113.89,35021565,TCP,OTHER,1474,1412,1,3,1.0,0.0,0.67,1,1,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,1239.056194837754,840.5054945054945,0.50749
120.77.134.54,17304818,TCP,OTHER,180,134,1,3,1.0,0.0,0.67,1,2,1.0,0.0,0.5,1,1,1.0,0.0,1.0,0.0,1238.9976761333455,840.6073926073926,0.50649
192.168.93.30,15403446,TCP,HTTP,547,691,3,10,1.0,0.0,0.7,1,1,1.0,0.0,0.0,18,18,1.0,0.0,0.06,0.94,1238.977650870937,840.6823176823177,0.50549
120.77.134.54,17273027,TCP,OTHER,180,134,2,4,1.0,0.0,0.5,2,3,1.0,0.0,0.33,2,2,1.0,0.0,0.5,0.5,1239.1020070842817,840.3796203796204,0.5045
223.109.146.199,17270687,TCP,OTHER,180,134,1,5,1.0,0.0,0.8,1,4,1.0,0.0,0.75,1,1,1.0,0.0,1.0,0.0,1237.9823649421862,837.9310689310689,0.5045
192.168.59.4,15577027,TCP,HTTP,12572,68376,1,5,1.0,0.0,0.8,1,2,1.0,0.0,0.5,1,1,1.0,0.0,1.0,0.0,1292.1491785143962,850.2447552447552,0.5045
180.188.19.13,32207132,TCP,HTTP,180,198,1,5,1.0,0.0,0.8,1,3,1.0,0.0,0.67,1,1,1.0,0.0,1.0,0.0,1292.2706578678378,849.9420579420579,0.5035
192.168.93.30,15346895,TCP,HTTP,547,691,2,5,1.0,0.0,0.6,2,4,1.0,0.0,0.5,18,18,1.0,0.0,0.06,0.94,1292.2509169193922,850.016983016983,0.5025
192.168.89.22,10752570,TCP,HTTP,537,2208,1,5,1.0,0.0,0.8,1,5,1.0,0.0,0.8,27,27,1.0,0.0,0.04,0.96,1238.1328688388824,838.00999000999,0.5025
192.168.93.30,14254916,TCP,HTTP,547,691,3,6,1.0,0.0,0.5,3,6,1.0,0.0,0.5,18,18,1.0,0.0,0.06,0.94,1238.1549526052834,837.8921078921079,0.5025
112.13.121.41,17222714,TCP,SSL,711,0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,1237.9533793219684,838.4825174825174,0.5035
192.168.89.10,7343,TCP,HTTP,483,531,1,7,1.0,0.0,0.86,1,6,1.0,0.0,0.83,37,37,1.0,0.0,0.03,0.97,1237.8444505025002,838.7562437562437,0.5035
192.168.93.30,1030783,TCP,HTTP,546,595,4,8,1.0,0.0,0.5,3,7,1.0,0.0,0.57,19,19,1.0,0.0,0.05,0.95,1237.7189479706105,839.0929070929071,0.5035
192.168.89.22,10823030,TCP,HTTP,537,2207,2,9,1.0,0.0,0.78,2,8,1.0,0.0,0.75,27,27,1.0,0.0,0.04,0.96,1235.0383530495158,836.2017982017982,0.5035
112.45.122.107,13995072,TCP,HTTPS,240,321,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,1235.0230139233497,836.2327672327673,0.5045
112.45.122.107,14997840,TCP,HTTPS,120,257,2,2,1.0,0.0,0.0,2,2,1.0,0.0,0.0,2,2,1.0,0.0,0.5,0.5,1231.4998198487967,832.4875124875125,0.5045
180.188.19.13,31099429,TCP,HTTP,180,198,2,10,1.0,0.0,0.8,1,6,1.0,0.0,0.83,2,2,1.0,0.0,0.5,0.5,1231.4998198487965,832.4875124875125,0.5045
183.232.23.240,150498,TCP,HTTPS,1481,3106,1,3,1.0,0.0,0.67,1,3,1.0,0.0,0.67,1,1,1.0,0.0,1.0,0.0,1230.9872775246167,831.8391608391609,0.5045
47.93.55.132,173464,TCP,HTTPS,1399,2778,1,4,1.0,0.0,0.75,1,4,1.0,0.0,0.75,1,1,1.0,0.0,1.0,0.0,1230.6102916328,831.2887112887113,0.5045
192.168.89.10,73825,TCP,HTTP,483,531,2,11,1.0,0.0,0.82,2,7,1.0,0.0,0.71,36,36,1.0,0.0,0.03,0.97,1230.2037019032657,829.8831168831168,0.50549
192.168.89.22,136078,TCP,HTTP,472,527,3,12,1.0,0.0,0.75,3,8,1.0,0.0,0.62,23,23,1.0,0.0,0.04,0.96,1229.7985073824536,828.4665334665335,0.50649
192.168.89.10,92841,TCP,HTTP,483,531,3,13,1.0,0.0,0.77,3,9,1.0,0.0,0.67,36,36,1.0,0.0,0.03,0.97,1229.8173211800229,827.8521478521478,0.50749
192.168.89.10,101723,TCP,HTTP,483,532,4,14,1.0,0.0,0.71,4,10,1.0,0.0,0.6,37,37,1.0,0.0,0.03,0.97,1229.8141905615025,827.8631368631369,0.50749
192.168.89.10,123424,TCP,HTTP,483,531,5,15,1.0,0.0,0.67,5,11,1.0,0.0,0.55,37,37,1.0,0.0,0.03,0.97,1229.8110598368203,827.8741258741259,0.50749
192.168.89.10,123062,TCP,HTTP,483,532,6,16,1.0,0.0,0.62,6,12,1.0,0.0,0.5,38,38,1.0,0.0,0.03,0.97,1229.8110598368203,827.8741258741259,0.50749
192.168.89.22,9673792,TCP,HTTP,537,2207,4,17,1.0,0.0,0.76,4,13,1.0,0.0,0.69,22,22,1.0,0.0,0.05,0.95,1229.7939835763862,827.9390609390609,0.50649
36.155.189.213,152336,TCP,HTTP,1026,7668,1,18,1.0,0.0,0.94,1,14,1.0,0.0,0.93,1,1,1.0,0.0,1.0,0.0,1229.7583334278206,828.4925074925075,0.50649
192.168.89.10,11375,TCP,HTTP,419,531,7,19,1.0,0.0,0.63,7,15,1.0,0.0,0.53,39,39,1.0,0.0,0.03,0.97,1229.7779577295812,828.4285714285714,0.50649
192.168.89.10,95723,TCP,HTTP,419,532,8,20,1.0,0.0,0.6,8,16,1.0,0.0,0.5,40,40,1.0,0.0,0.03,0.97,1229.788490598709,828.3956043956044,0.50749
192.168.89.10,95560,TCP,HTTP,419,532,9,21,1.0,0.0,0.57,9,17,1.0,0.0,0.47,41,41,1.0,0.0,0.02,0.98,1229.8049744546238,828.3426573426574,0.50749
192.168.89.10,92214,TCP,HTTP,419,532,10,22,1.0,0.0,0.55,10,18,1.0,0.0,0.44,41,41,1.0,0.0,0.02,0.98,1229.7352784867298,828.5154845154846,0.50849
192.168.89.10,13605,TCP,HTTP,419,532,11,23,1.0,0.0,0.52,11,19,1.0,0.0,0.42,41,41,1.0,0.0,0.02,0.98,1229.2429375224829,826.934065934066,0.50949
192.168.89.10,94937,TCP,HTTP,419,532,12,24,1.0,0.0,0.5,12,20,1.0,0.0,0.4,41,41,1.0,0.0,0.02,0.98,1229.2625040543408,826.1838161838161,0.51049
192.168.89.10,90019,TCP,HTTP,419,532,13,25,1.0,0.0,0.48,13,21,1.0,0.0,0.38,42,42,1.0,0.0,0.02,0.98,1229.2979688659652,826.056943056943,0.51149
192.168.89.10,89987,TCP,HTTP,419,532,14,26,1.0,0.0,0.46,14,22,1.0,0.0,0.36,43,43,1.0,0.0,0.02,0.98,1228.8022886476751,824.4755244755245,0.51249
192.168.89.10,94444,TCP,HTTP,419,532,15,27,1.0,0.0,0.44,15,23,1.0,0.0,0.35,44,44,1.0,0.0,0.02,0.98,1228.4135842094574,823.013986013986,0.51349
192.168.89.22,9617375,TCP,HTTP,537,2207,5,28,1.0,0.0,0.82,5,24,1.0,0.0,0.79,20,20,1.0,0.0,0.05,0.95,1228.4168618425485,822.4575424575424,0.51349
192.168.89.10,66776,TCP,HTTP,483,531,16,29,1.0,0.0,0.45,16,25,1.0,0.0,0.36,43,43,1.0,0.0,0.02,0.98,1228.4168618425488,822.4575424575424,0.51349
192.168.89.22,8909396,TCP,HTTP,537,2207,6,30,1.0,0.0,0.8,6,26,1.0,0.0,0.77,21,21,1.0,0.0,0.05,0.95,1228.3980371373834,822.5294705294705,0.51349
192.168.89.10,14522,TCP,HTTP,483,532,17,31,1.0,0.0,0.45,17,27,1.0,0.0,0.37,43,43,1.0,0.0,0.02,0.98,1228.4138173361,822.4665334665335,0.51449
192.168.89.10,14621,TCP,HTTP,419,532,18,32,1.0,0.0,0.44,18,28,1.0,0.0,0.36,43,43,1.0,0.0,0.02,0.98,1228.430064087033,822.4135864135864,0.51449
192.168.89.10,14458,TCP,HTTP,419,532,19,33,1.0,0.0,0.42,19,29,1.0,0.0,0.34,43,43,1.0,0.0,0.02,0.98,1228.4651635497164,822.2867132867133,0.51548
192.168.89.10,14063,TCP,HTTP,419,532,20,34,1.0,0.0,0.41,20,30,1.0,0.0,0.33,44,44,1.0,0.0,0.02,0.98,1228.474635914758,822.2567432567432,0.51648
192.168.89.22,8927753,TCP,HTTP,537,2207,7,35,1.0,0.0,0.8,6,30,1.0,0.0,0.8,21,21,1.0,0.0,0.05,0.95,1228.457838006588,822.3216783216783,0.51548
192.168.99.200,4383,TCP,HTTP,810,807,1,36,1.0,0.0,0.97,1,31,1.0,0.0,0.97,1,1,1.0,0.0,1.0,0.0,1228.2275206329962,823.0609390609391,0.51449
