ip,duration,trans_protocol,app_protocol,send_bytes,recv_bytes,t_same_main_engine,t_same_server,t_same_server_rate,t_diff_server_rate,t_diff_main_engine_rate,t_same_main_engine_2,t_same_server_2,t_same_server_rate_2,t_diff_server_rate_2,t_diff_main_engine_rate_2,same_main_engine,same_server,same_server_rate,diff_server_rate,same_src_rate,diff_src_rate,std,mean,send_rst_flag_rate,label
192.168.59.4,9390982,0,1,7347,31448,1,47,1.0,0.0,0.98,1,22,1.0,0.0,0.95,1,1,1.0,0.0,1.0,0.0,138069.49989483214,5220.8191808191805,0.33066999999999996,0
192.168.89.22,5005315,0,1,1646,559,32,48,1.0,0.0,0.33,16,22,1.0,0.0,0.27,23,23,1.0,0.0,0.04,0.96,138069.46675605493,5221.927072927073,0.33066999999999996,0
192.168.89.22,5007391,0,1,1646,559,33,49,1.0,0.0,0.33,17,21,1.0,0.0,0.19,24,24,1.0,0.0,0.04,0.96,138069.42104247227,5223.391608391608,0.32966999999999996,0
192.168.0.150,0,0,0,66,0,1,46,1.0,0.0,0.98,1,36,1.0,0.0,0.97,1,1,1.0,0.0,1.0,0.0,138069.43781507984,5222.921078921079,0.32966999999999996,0
192.168.89.22,7402304,0,1,537,2208,34,50,1.0,0.0,0.32,16,19,1.0,0.0,0.16,25,25,1.0,0.0,0.04,0.96,138069.43563032875,5222.985014985015,0.32966999999999996,0
183.2.140.97,93376,0,0,123,64,1,47,1.0,0.0,0.98,1,33,1.0,0.0,0.97,1,1,1.0,0.0,1.0,0.0,138069.4506252868,5222.561438561439,0.32966999999999996,1
192.168.89.22,5004723,0,1,1646,559,35,51,1.0,0.0,0.31,13,16,1.0,0.0,0.19,25,25,1.0,0.0,0.04,0.96,138069.41528741975,5223.733266733268,0.32966999999999996,0
192.168.89.22,14010314,0,1,5014,33636,36,52,1.0,0.0,0.31,12,14,1.0,0.0,0.14,26,26,1.0,0.0,0.04,0.96,138069.33624761066,5228.195804195804,0.32966999999999996,0
192.168.89.22,5003063,0,1,1646,560,29,45,1.0,0.0,0.36,10,12,1.0,0.0,0.17,27,27,1.0,0.0,0.04,0.96,138069.30304960287,5229.303696303697,0.32966999999999996,0
192.168.89.22,5006751,0,1,1646,559,30,46,1.0,0.0,0.35,11,13,1.0,0.0,0.15,28,28,1.0,0.0,0.04,0.96,138069.26984269722,5230.411588411588,0.32966999999999996,0
192.168.89.10,6356356,0,1,548,2211,1,46,1.0,0.0,0.98,1,14,1.0,0.0,0.93,1,1,1.0,0.0,1.0,0.0,138069.26980881396,5230.4125874125875,0.32966999999999996,0
192.168.89.10,6663706,0,1,548,2211,2,47,1.0,0.0,0.96,2,15,1.0,0.0,0.87,2,2,1.0,0.0,0.5,0.5,138069.25685069192,5230.780219780219,0.32866999999999996,0
192.168.89.22,5004122,0,1,1646,559,30,47,1.0,0.0,0.36,12,16,1.0,0.0,0.25,29,29,1.0,0.0,0.03,0.97,138069.21322342887,5232.184815184815,0.32866999999999996,0
192.168.89.22,5002984,0,1,1646,560,31,47,1.0,0.0,0.34,13,17,1.0,0.0,0.24,30,30,1.0,0.0,0.03,0.97,138069.1803328216,5233.282717282717,0.32866999999999996,0
52.231.20.34,154196,0,2,183,127,1,4,1.0,0.0,0.75,1,1,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,138069.25734214633,5226.197802197802,0.32866999999999996,1
192.168.89.22,5005003,0,1,1646,559,31,44,1.0,0.0,0.3,13,16,1.0,0.0,0.19,31,31,1.0,0.0,0.03,0.97,138069.22449915722,5227.295704295704,0.32866999999999996,0
192.168.89.22,5004760,0,1,1646,559,31,44,1.0,0.0,0.3,14,17,1.0,0.0,0.18,31,31,1.0,0.0,0.03,0.97,138069.2554745927,5225.780219780219,0.32766999999999996,0
192.168.93.30,5248298,0,1,547,2211,8,44,1.0,0.0,0.82,1,18,1.0,0.0,0.94,9,9,1.0,0.0,0.11,0.89,138069.25513569708,5225.79020979021,0.32766999999999996,0
192.168.89.22,5002990,0,1,1716,1054,32,45,1.0,0.0,0.29,15,19,1.0,0.0,0.21,32,32,1.0,0.0,0.03,0.97,138069.22049998963,5226.958041958042,0.32766999999999996,0
120.253.255.34,58869772,0,3,240,335,1,8,1.0,0.0,0.88,1,2,1.0,0.0,0.5,1,1,1.0,0.0,1.0,0.0,138069.2161178607,5227.077922077921,0.32666999999999996,0
192.168.93.30,5331480,0,1,547,2211,5,38,1.0,0.0,0.87,2,17,1.0,0.0,0.88,9,9,1.0,0.0,0.11,0.89,138069.2161178607,5227.077922077921,0.32666999999999996,0
192.168.89.22,5002703,0,1,1646,559,29,39,1.0,0.0,0.26,13,17,1.0,0.0,0.24,33,33,1.0,0.0,0.03,0.97,138069.17252824872,5228.482517482517,0.32566999999999996,0
192.168.92.10,5002284,0,1,830,672,1,38,1.0,0.0,0.97,1,17,1.0,0.0,0.94,2,2,1.0,0.0,0.5,0.5,138069.21425885483,5226.88011988012,0.32566999999999996,0
192.168.92.43,5003500,0,1,780,667,1,38,1.0,0.0,0.97,1,18,1.0,0.0,0.94,2,2,1.0,0.0,0.5,0.5,138069.25327763255,5225.432567432567,0.32566999999999996,0
192.168.89.22,5005426,0,1,1646,559,29,39,1.0,0.0,0.26,12,18,1.0,0.0,0.33,34,34,1.0,0.0,0.03,0.97,138069.2204407275,5226.5304695304685,0.32566999999999996,0
192.168.93.30,4353037,0,1,547,2211,5,35,1.0,0.0,0.86,3,18,1.0,0.0,0.83,9,9,1.0,0.0,0.11,0.89,138069.22010177755,5226.54045954046,0.32566999999999996,0
